諭告/19100829/GB_19100829_AA0001_G0001/CNTS-00083070291
朝鮮總督府官報ノ發行及發賣ニ關スル件左ノ通定ム : 統監府告示第197號/19100829/GB_19100829_AA0001_G0002/CNTS-00083070292
正誤/19100829/GB_19100829_AB0002_G0001/CNTS-00083070293
左記新聞紙ハ韓國ニ輸入シ治安ヲ妨害スルモノト認ムルニ付統監府令第12號新聞紙規則第13條ニ依リ發賣頒布ヲ禁止シ之ヲ押收ス : 統監府警務總監部告示第34號/19100830/GB_19100830_AA0002_G0001/CNTS-00083070294
右新聞ハ各頭書ノ日府ニヨリ發賣頒布禁シ且發行停止中ノ處8月24日之ヲ解キタリ : 統監府警務總監部告示第35號/19100830/GB_19100830_AA0002_G0002/CNTS-00083070295
左記新聞紙ハ韓國ニ輸入シ治安ヲ妨害スルモノト認ムルニ付統監府令第12號新聞紙規則第13條ニ依リ發賣頒布ヲ禁止シ之ヲ押收ス : 統監府警務總監部告示第36號/19100830/GB_19100830_AA0002_G0003/CNTS-00083070296
左記新聞紙ハ韓國ニ輸入シ治安ヲ妨害スルモノト認ムルニ付統監府令第12號新聞紙規則第13條ニ依リ發賣頒布ヲ禁止シ之ヲ押收ス : 統監府警務總監部告示第37號/19100830/GB_19100830_AA0002_G0004/CNTS-00083070297
左記新聞紙ハ韓國ニ輸入シ治安ヲ妨害スルモノト認ムルニ付統監府令第12號新聞紙規則第13條ニ依リ發賣頒布ヲ禁止シ之ヲ押收ス : 統監府警務總監部告示第38號/19100830/GB_19100830_AA0002_G0005/CNTS-00083070298
明治43年8月25日發行少年第3年第8卷ハ治安ヲ妨害スルモノト認ムルニ付韓國光武11年法律第5號新聞紙法第21條ニ依リ該雜誌ノ發賣頒布ヲ禁止シ之ヲ押收シ其潑行ヲ停止ス : 統監府警務總監部告示第39號/19100830/GB_19100830_AA0002_G0006/CNTS-00083070299
右新聞紙ハ頭書ノ日付ニヨリ發賣頒布ヲ禁シ其ノ發行ヲ停止中ノ處8月12日之ヲ解キタリ : 京畿道警務部告示第3號/19100831/GB_19100831_AA0003_G0001/CNTS-00083070300
右新聞紙ハ治安ヲ妨害スルモノト認メ統監府令第12號新聞紙規則第13條ニ依リ本日該新聞紙ノ發賣頒布ヲ禁止シ之ヲ押收ス : 京畿道警務部告示第4號/19100831/GB_19100831_AA0003_G0002/CNTS-00083070301
右新聞紙ハ治安ヲ妨害スルモノト認メ統監府令第12號新聞紙規則第13條ニ依リ本日該新聞ノ發賣頒布ヲ禁止シ之ヲ押收ス : 京畿道警務部告示第5號/19100831/GB_19100831_AA0003_G0003/CNTS-00083070302
右新聞紙ハ治安ヲ妨害スルモノト認メ統監府令第12號新聞紙規則第13條ニ依リ本日該新聞ノ發賣頒布ヲ禁止シ之ヲ押收ス : 京畿道警務部告示第6號/19100831/GB_19100831_AA0003_G0004/CNTS-00083070303
右新聞紙ハ治安ヲ妨害スルモノト認メ統監府令第12號新聞紙規則第13條ニ依リ本日該新聞ノ發賣頒布ヲ禁止シ之ヲ押收ス : 京畿道警務部告示第7號/19100831/GB_19100831_AA0003_G0005/CNTS-00083070304
右新聞紙ハ治安ヲ妨害スルモノト認メ統監府令第12號新聞紙規則第13條ニ依リ本日該新聞ノ發賣頒布ヲ禁止シ之ヲ押收ス : 京畿道警務部告示第8號/19100831/GB_19100831_AA0003_G0006/CNTS-00083070305
右新聞紙ハ治安ヲ妨害スルモノト認メ統監府令第12號新聞紙規則第13條ニ依リ本日該新聞ノ發賣頒布ヲ禁止シ之ヲ押收ス : 京畿道警務部告示第9號/19100831/GB_19100831_AA0003_G0007/CNTS-00083070306
左記新聞紙ハ韓國ニ輸入シ治安ヲ妨害スルモノト認メ明治41年統監府令第12號新聞紙規則第13條ニ依リ其ノ發賣頒布ヲ禁止シ之ヲ押收ス : 忠淸北道警務部告示第1號/19100831/GB_19100831_AA0003_G0008/CNTS-00083070307
左記新聞紙ハ韓國ニ輸入シ治安ヲ妨害スルモノト認メ明治41年統監府令第12號新聞紙規則第13條ニ依リ其ノ發賣頒布ヲ禁止シ之ヲ押收ス : 忠淸北道警務部告示第2號/19100831/GB_19100831_AA0003_G0009/CNTS-00083070308
左記新聞紙ハ韓國ニ輸入シ治安ヲ妨害スルモノト認メ明治41年統監府令第12號新聞紙規則第13條ニ依リ其發賣頒布ヲ禁止シ之ヲ押收ス : 忠淸北道警務部告示第3號/19100831/GB_19100831_AA0003_G0010/CNTS-00083070309
左記新聞紙ハ韓國ニ輸入シ治安ヲ妨害スルモノト認メ明治41年統監府令第12號新聞紙規則第13條ニ依リ其發賣頒布ヲ禁止シ之ヲ押收ス : 忠淸北道警務部告示第4號/19100831/GB_19100831_AA0003_G0011/CNTS-00083070310
全羅北道警務部令ハ全羅新報(全州ニ於テ發行)ヲ以テ公布ス : 全羅北道警務部告示第2號/19100831/GB_19100831_AA0003_G0012/CNTS-00083070311
右新聞紙ハ治安ヲ妨害スルモノト認メ明治41年4月統監府令第12號新聞紙規則第13條ニ依リ本日該新聞紙ノ發賣頒布ヲ禁止シ之ヲ押收ス : 慶尙北道警務部告示第2號/19100831/GB_19100831_AA0003_G0013/CNTS-00083070312
左記新聞紙ハ治安ヲ妨害スルモノト認メ明治41年4月統監府令第12號新聞紙規則第13條ニ依リ本日該新聞紙ノ發賣頒布ヲ禁止シ之ヲ押收ス : 慶尙北道警務部告示第3號/19100831/GB_19100831_AA0003_G0014/CNTS-00083070313
左記新聞紙ハ治安ヲ妨害スルモノト認メ明治41年4月統監府令第12號新聞紙規則第13條ニ依リ本日該新聞紙ノ發賣頒布ヲ禁止シ之ヲ押收ス : 慶尙北道警務部告示第4號/19100831/GB_19100831_AA0003_G0015/CNTS-00083070314
左記新聞紙ハ治安ヲ妨害スルモノト認メ明治41年4月統監府令第12號新聞紙規則第13條ニ依リ本日該新聞紙ノ發賣頒布ヲ禁止シ之ヲ押收ス : 慶尙北道警務部告示第5號/19100831/GB_19100831_AA0003_G0016/CNTS-00083070315
左記新聞紙ハ治安ヲ妨害スルモノト認メ明治41年4月統監府令第12號新聞紙規則第13條ニ依リ本日該新聞紙ノ發賣頒布ヲ禁止シ之ヲ押收ス : 慶尙北道警務部告示第6號/19100831/GB_19100831_AA0003_G0017/CNTS-00083070316
左記新聞紙ハ治安ヲ妨害スルモノト認メ明治41年4月統監府令第12號新聞紙規則第13條ニ依リ本日該新聞紙ノ發賣頒布ヲ禁止シ之ヲ押收ス : 慶尙北道警務部告示第7號/19100831/GB_19100831_AA0003_G0018/CNTS-00083070317
左記新聞紙ハ治安ヲ妨害スルモノト認メ明治41年4月統監府令第12號新聞紙規則第13條ニ依リ本日該新聞紙ノ發賣頒布ヲ禁止シ押收ス : 慶尙北道警務部告示第8號/19100831/GB_19100831_AA0003_G0019/CNTS-00083070318
正誤/19100831/GB_19100831_AA0003_G0020/CNTS-00083070319
